Station Name,Station Latitude,Station Longitude,Bubble Tea Shop Name,Rating,Business Latitude,Business Longitude
Homer & Robson (Vancouver Public Library),49.27905,-123.11695,Little Bee Bubble Tea,4.5,49.2796047821947,-123.11541583389
Homer & Robson (Vancouver Public Library),49.27905,-123.11695,Atelier by Chatime,3.5,49.28030775449333,-123.11842527240516
Beatty & Robson,49.27833,-123.11621,Jenjudan Yaletown,4.0,49.27833,-123.11621
Beatty & Robson,49.27833,-123.11621,Gong Cha,3.0,49.2792027,-123.1167521
Beatty & Robson,49.27833,-123.11621,Little Bee Bubble Tea,4.5,49.2796047821947,-123.11541583389
Beatty & Robson,49.27833,-123.11621,Gong cha,5.0,49.27905,-123.11695
Beatty & Robson,49.27833,-123.11621,Cha Yuan,4.5,49.27402,-123.12243
Beatty & Robson,49.2819027,-123.1074516,Boba Run,4.5,49.2819027,-123.1074516
Beatty & Robson,49.2819027,-123.1074516,Charisma Cafe & Dessert House,4.0,49.28018,-123.10866
Beatty & Robson,49.2819027,-123.1074516,Bubble King,3.5,49.2803895558461,-123.106066994369
Beatty & Robson,49.2819027,-123.1074516,Gong Cha,4.0,49.2838435,-123.11335923808556
Beatty & Robson,49.2819027,-123.1074516,Sharetea,4.0,49.2834699,-123.1144227
Beatty & Robson,49.28018,-123.10866,Charisma Cafe & Dessert House,4.0,49.28018,-123.10866
Beatty & Robson,49.28018,-123.10866,Boba Run,4.5,49.2819027,-123.1074516
Beatty & Robson,49.28018,-123.10866,CoCo Fresh Tea & Juice,4.0,49.2844898190478,-123.11441326495552
Beatty & Robson,49.28018,-123.10866,Bubble King,3.5,49.2803895558461,-123.106066994369
Beatty & Robson,49.28018,-123.10866,Gong Cha,4.0,49.2838435,-123.11335923808556
Beatty & Robson,49.2792027,-123.1167521,Gong Cha,3.0,49.2792027,-123.1167521
Beatty & Robson,49.2792027,-123.1167521,Jenjudan Yaletown,4.0,49.27833,-123.11621
Beatty & Robson,49.2792027,-123.1167521,Gong cha,5.0,49.27905,-123.11695
Beatty & Robson,49.2792027,-123.1167521,Ikoi cha,2.5,49.27905,-123.11695
Beatty & Robson,49.2792027,-123.1167521,Little Bee Bubble Tea,4.5,49.2796047821947,-123.11541583389
Beatty & Robson,49.2796047821947,-123.11541583389,Little Bee Bubble Tea,4.5,49.2796047821947,-123.11541583389
Beatty & Robson,49.2796047821947,-123.11541583389,Jenjudan Yaletown,4.0,49.27833,-123.11621
Beatty & Robson,49.2796047821947,-123.11541583389,Gong Cha,3.0,49.2792027,-123.1167521
Beatty & Robson,49.2796047821947,-123.11541583389,Charisma Cafe & Dessert House,4.0,49.28018,-123.10866
Beatty & Robson,49.2796047821947,-123.11541583389,Ben Gong’s Tea,2.5,49.27959441559469,-123.1155470929707
Beatty & Nelson,49.27402,-123.12243,Cha Yuan,4.5,49.27402,-123.12243
Beatty & Nelson,49.27402,-123.12243,Sharetea Yaletown,5.0,49.27609727880593,-123.11929431348956
Beatty & Nelson,49.27402,-123.12243,Kurotaki Bubble Tea House,3.0,49.27464608371603,-123.12584949328874
Beatty & Nelson,49.27833,-123.11621,Jenjudan Yaletown,4.0,49.27833,-123.11621
Beatty & Nelson,49.27833,-123.11621,Gong Cha,3.0,49.2792027,-123.1167521
Beatty & Nelson,49.27833,-123.11621,Little Bee Bubble Tea,4.5,49.2796047821947,-123.11541583389
Beatty & Nelson,49.27833,-123.11621,Gong cha,5.0,49.27905,-123.11695
Beatty & Nelson,49.27833,-123.11621,Cha Yuan,4.5,49.27402,-123.12243
Beatty & Nelson,49.2792027,-123.1167521,Gong Cha,3.0,49.2792027,-123.1167521
